course,skills,rating,level,certificatetype,duration,prerequisites,skill_level_required
Microsoft Azure Fundamentals AZ-900 Exam Prep,"{"" Cloud Computing"","" Microsoft Azure"","" Cloud Management"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Network Security"","" Cloud Engineering"","" Cloud Standards"","" DevOps"","" Leadership and Management"","" System Security"","" Cloud Storage"","" Machine Learning"","" Software As A Service"","" Cloud-Based Integration"","" Software Security"","" Data Management"","" Network Architecture"","" Security Software"","" Account Management"","" Database Administration"","" Databases"","" Web Development Tools""}",4.6,Beginner,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Introduction to Cybersecurity & Risk Management,"{"" Leadership and Management"","" Risk Management""}",4.7,Beginner,Specialization,1 - 3 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Essentials of Corporate Finance,"{"" Finance"","" Investment Management"","" Financial Analysis"","" Risk Management"","" Financial Management"","" Leadership and Management"","" Accounting"","" Financial Accounting"","" Management Accounting"","" Business Analysis"","" Decision Making"","" Market Analysis"","" Accounts Payable and Receivable"","" Cash Management"","" General Accounting"","" Securities Trading"","" Account Management"","" Operational Analysis"","" Banking"","" Correlation And Dependence"","" Probability & Statistics""}",4.6,Intermediate,Specialization,3 - 6 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,intermediate
Finance & Quantitative Modeling for Analysts,"{"" Finance"","" Business Analysis"","" Data Analysis"","" Financial Analysis"","" Accounting"","" Forecasting"","" Financial Management"","" General Accounting"","" General Statistics"","" Statistical Analysis"","" Financial Accounting"","" Mathematical Theory & Analysis"","" Accounts Payable and Receivable"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Correlation And Dependence"","" Data Model"","" Decision Making"","" Regression"","" Generally Accepted Accounting Principles (GAAP)"","" Management Accounting"","" Statistical Tests"","" Strategy and Operations"","" Budget Management"","" Microsoft Excel"","" Spreadsheet Software"","" Entrepreneurship"","" Linear Algebra"","" Computer Programming""}",4.5,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Whole genome sequencing of bacterial genomes - tools and applications,"{"" Bioinformatics""}",4.6,Beginner,Course,1 - 3 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
The Business of Music Production,"{"" Creativity"","" Critical Thinking"","" Regulations and Compliance"","" Problem Solving"","" Process Analysis"","" Writing"","" Decision Making"","" Business Analysis"","" Deep Learning"","" Strategy"","" Leadership and Management""}",4.8,Beginner,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Aboriginal Worldviews and Education,"{"" Critical Thinking""}",4.7,Beginner,Course,1 - 3 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Reinforcement Learning,"{"" Machine Learning"","" Reinforcement Learning"","" Algorithms"","" Human Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Computer Programming"","" Python Programming"","" Statistical Machine Learning"","" Statistical Programming"","" Artificial Neural Networks"","" Decision Making"","" Probability & Statistics"","" Probability Distribution""}",4.7,Intermediate,Specialization,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Transforming the Fashion Business,"{"" Leadership and Management"","" Research and Design"","" Brand Management"","" Design and Product"","" Strategy and Operations"","" Supply Chain Systems"","" Supply Chain and Logistics"","" Innovation"","" Marketing"","" Product Management"","" Collaboration"","" Entrepreneurship"","" Retail Sales"","" Sales"","" Strategy"","" Business Design"","" E-Commerce"","" Interactive Design"","" Product Lifecycle"","" Forecasting"","" Merchandising"","" Product Design"","" Visual Design""}",4.7,Intermediate,Specialization,1 - 3 Months,Digital Communication Basics|Consumer Behavior|Content Creation,intermediate
Introduction to Scripting in Python,"{"" Computer Programming"","" Programming Principles"","" Python Programming"","" Computer Programming Tools"","" Computational Logic"","" Data Analysis"","" Computational Thinking"","" Mathematics"","" Algorithms"","" Critical Thinking"","" Data Structures"","" Mathematical Theory & Analysis"","" Problem Solving"","" Algebra"","" Data Visualization""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"{"" Computational Logic"","" Computer Architecture"","" Computer Programming"","" Hardware Design"","" Theoretical Computer Science"","" Computer Programming Tools"","" Critical Thinking"","" Problem Solving"","" Systems Design""}",4.9,Mixed,Course,1 - 3 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
Futures Thinking,"{"" Adaptability"","" Creativity"","" Forecasting"","" Critical Thinking"","" Innovation"","" Human Learning"","" Decision Making"","" Strategy"","" Problem Solving"","" Collaboration"","" Communication"","" People Analysis"","" Planning"","" Research and Design"","" Scientific Visualization"","" Strategy and Operations"","" Leadership and Management"","" Business Transformation"","" Experiment"","" Storytelling"","" Game Theory"","" Leadership Development""}",4.8,Beginner,Specialization,3 - 6 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
Anatomy,"{"" Human Learning""}",4.8,Beginner,Specialization,3 - 6 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Using Python to Access Web Data,"{"" Computer Programming"","" Computer Programming Tools"","" Programming Principles"","" Python Programming"","" Data Structures"","" Web Development"","" Web Development Tools"","" Computer Networking"","" Extract"","" Transform"","" Load"","" HTML and CSS""}",4.8,Beginner,Course,1 - 3 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Professional Skills for the Workplace,"{"" Leadership and Management"","" Communication"","" Emotional Intelligence"","" Professional Development"","" Collaboration"","" Problem Solving"","" Critical Thinking"","" People Development"","" Business Psychology"","" Strategy and Operations"","" Adaptability"","" People Analysis"","" Strategy"","" Resilience"","" Entrepreneurship"","" Planning""}",4.8,Beginner,Specialization,3 - 6 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
"HTML, CSS, and Javascript for Web Developers","{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Patient Safety,"{"" Communication"","" Problem Solving"","" Planning""}",4.8,Beginner,Specialization,3 - 6 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Harnessing the Power of Data with Power BI,"{"" Data Analysis"","" Extract"","" Transform"","" Load"","" Power BI""}",4.5,Beginner,Course,1 - 4 Weeks,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Introduction to Data Engineering,"{"" Data Engineering"","" Data Management"","" Extract"","" Transform"","" Load"","" Databases"","" Network Security"","" Big Data"","" Data Warehousing"","" Leadership and Management"","" SQL"","" Data Science"","" NoSQL""}",4.7,Beginner,Course,1 - 4 Weeks,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Foundational Finance for Strategic Decision Making,"{"" Finance"","" Financial Analysis"","" Financial Management"","" Investment Management"","" Decision Making"","" Leadership and Management"","" Business Analysis"","" Critical Thinking"","" Financial Accounting"","" Payments"","" Accounting"","" Market Analysis"","" Microsoft Excel"","" Planning"","" Problem Solving"","" Strategy and Operations"","" Mathematics""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Microsoft Azure Data Scientist Associate (DP-100),"{"" Machine Learning"","" Microsoft Azure"","" Applied Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Python Programming"","" Human Learning"","" Algorithms"","" Big Data"","" Cloud Applications"","" Data Analysis"","" Regression"","" Cloud-Based Integration"","" Extract"","" Transform"","" Load"","" Training"","" Exploratory Data Analysis"","" Cloud Platforms"","" Data Management"","" Deep Learning"","" Experiment""}",4.4,Intermediate,Professional Certificate,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Supply Chain Management,"{"" Supply Chain Systems"","" Supply Chain and Logistics"","" Planning"","" Strategy and Operations"","" Business Process Management"","" Inventory Management"","" Leadership and Management"","" Operations Management"","" Continuous Delivery"","" Critical Thinking"","" Data Analysis"","" Estimation"","" Forecasting"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Strategy"","" Supplier Relationship Management"","" Warehouse Management"","" Probability & Statistics"","" Transportation Operations Management"","" Material Handling"","" Shipping and Receiving"","" Performance Management""}",4.7,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Python Programming Fundamentals,"{"" Algorithms"","" Computer Programming"","" Problem Solving"","" Python Programming""}",4.4,Beginner,Course,1 - 4 Weeks,Basic Python Syntax|Object-Oriented Programming,beginner
Google IT Support,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Computer Architecture"","" Critical Thinking"","" Problem Solving"","" Communication"","" Human Computer Interaction"","" Network Security"","" Linux"","" System Security"","" Cloud Computing"","" Computer Programming"","" Customer Support"","" Cryptography"","" Leadership and Management"","" Operating Systems""}",4.8,Beginner,Professional Certificate,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Preparing for Google Cloud Certification: Cloud Engineer,"{"" Cloud Computing"","" Google Cloud Platform"","" Cloud Platforms"","" Cloud Applications"","" Cloud Engineering"","" Cloud Storage"","" Cloud Infrastructure"","" Cloud Management"","" Computer Networking"","" Cloud Standards"","" Cloud-Based Integration"","" Computer Architecture"","" Google App Engine"","" Other Cloud Platforms and Tools"","" DevOps"","" Computer Programming Tools"","" Kubernetes"","" Network Architecture"","" Computer Programming"","" Billing & Invoicing"","" Leadership and Management""}",4.7,Intermediate,Professional Certificate,3 - 6 Months,Programming Fundamentals|Version Control|Algorithms,intermediate
"NoSQL, Big Data, and Spark Foundations","{"" Apache"","" Big Data"","" Data Management"","" Distributed Computing Architecture"","" Databases"","" NoSQL"","" Extract"","" Transform"","" Load"","" SQL"","" Cloud Computing"","" Data Model"","" Machine Learning"","" Data Architecture"","" Database Administration"","" Database Design"","" Cloud Applications"","" Cloud Storage"","" IBM Cloud"","" Kubernetes"","" Python Programming""}",4.4,Beginner,Specialization,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
First Step Korean,"{"" Communication"","" Culture"","" Writing""}",4.9,Beginner,Course,1 - 3 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Mathematics for Machine Learning: Linear Algebra,"{"" Algebra"","" Linear Algebra"","" Mathematics"","" Python Programming"","" Computer Programming"","" Machine Learning Algorithms"","" Problem Solving"","" Algorithms"","" Computer Programming Tools"","" Machine Learning""}",4.7,Beginner,Course,1 - 3 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
"Introduction to Financial Analysis - The ""Why?""","{"" Accounting"","" Finance"","" Financial Accounting"","" General Accounting"","" Leadership and Management"","" Accounts Payable and Receivable"","" Financial Analysis"","" Cost Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Risk Management""}",4.7,Beginner,Course,1 - 4 Weeks,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Certificate in Strategic Leadership,"{"" Strategy""}",,,University Certificate,6 - 12 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
Six Sigma Green Belt,"{"" Data Analysis"","" Probability & Statistics"","" Business Analysis"","" Process Analysis"","" Statistical Analysis"","" General Statistics"","" Operational Analysis"","" Business Process Management"","" Organizational Development"","" Performance Management"","" Problem Solving"","" Project Management"","" Statistical Tests"","" Statistical Visualization"","" Strategy and Operations"","" Decision Making"","" Leadership and Management"","" Mathematics"","" Operations Management"","" Basic Descriptive Statistics"","" Supply Chain and Logistics"","" Entrepreneurship"","" Planning"","" Probability Distribution"","" Customer Analysis"","" Mathematical Theory & Analysis"","" Experiment"","" Interactive Data Visualization"","" Interactive Design""}",4.7,Intermediate,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,intermediate
Financial Markets,"{"" Finance"","" Investment Management"","" Risk Management"","" Banking"","" Behavioral Economics"","" Critical Thinking"","" Decision Making"","" Financial Analysis"","" Innovation"","" Regulations and Compliance"","" Leadership and Management""}",4.8,Beginner,Course,1 - 3 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Building Scalable Java Microservices with Spring Boot and Spring Cloud,"{"" Cloud Applications"","" Cloud Computing"","" Cloud Infrastructure"","" Cloud Platforms"","" Google App Engine"","" Google Cloud Platform"","" Java Programming"","" Kubernetes""}",4.3,Intermediate,Course,1 - 4 Weeks,IT Infrastructure Basics|Networking Fundamentals|Virtualization,intermediate
Work Smarter with Microsoft Word,"{"" Collaboration"","" Communication"","" Computer Graphics"","" Microsoft Excel"","" Visual Design"","" Research and Design"","" Writing"","" Interactive Data Visualization"","" Software Architecture"","" User Experience Design""}",4.7,Beginner,Course,1 - 3 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
IBM Introduction to Machine Learning,"{"" Machine Learning"","" Machine Learning Algorithms"","" Algorithms"","" Statistical Machine Learning"","" Human Learning"","" Probability & Statistics"","" Applied Machine Learning"","" Data Analysis"","" Regression"","" General Statistics"","" Feature Engineering"","" Machine Learning Software"","" Exploratory Data Analysis"","" Dimensionality Reduction"","" Statistical Analysis"","" Data Model"","" Statistical Tests"","" Data Structures""}",4.6,Intermediate,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,intermediate
Driving business towards the Sustainable Development Goals,"{"" Critical Thinking"","" Innovation"","" Leadership and Management"","" Problem Solving"","" Strategy"","" Business Transformation"","" Collaboration"","" Entrepreneurship"","" People Development"","" Organizational Development""}",4.8,Beginner,Course,1 - 3 Months,Basic Organizational Principles|Communication Skills|Time Management,beginner
Methods and Statistics in Social Sciences,"{"" Probability & Statistics"","" Statistical Tests"","" General Statistics"","" Statistical Analysis"","" Correlation And Dependence"","" Statistical Programming"","" Basic Descriptive Statistics"","" Research and Design"","" Data Analysis"","" Regression"","" Adaptability"","" Computational Thinking"","" Critical Thinking"","" People Analysis"","" Theoretical Computer Science"","" Writing"","" Probability Distribution"","" Problem Solving"","" R Programming"","" Experiment"","" Mathematical Theory & Analysis"","" Computer Programming""}",4.6,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Advanced Embedded Linux Development,"{"" Computer Programming"","" Operating Systems"","" System Software"","" Linux"","" Agile Software Development""}",4,Intermediate,Specialization,1 - 3 Months,Programming Fundamentals|Version Control|Algorithms,intermediate
Attract and Engage Customers with Digital Marketing,"{"" Digital Marketing"","" Marketing"","" Search Engine Optimization"","" Marketing Management"","" Advertising"","" Media Strategy & Planning"","" Persona Research"","" Web Design"","" Web Development"","" Web Development Tools""}",4.8,Beginner,Course,1 - 4 Weeks,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Construction Management,"{"" Project Management"","" Leadership and Management"","" Strategy and Operations"","" Planning"","" Estimation"","" Operations Management"","" Budget Management"","" Accounting"","" Decision Making"","" Finance"","" Cost Accounting"","" Critical Thinking"","" Mathematical Theory & Analysis"","" Financial Accounting"","" Performance Management"","" Strategy"","" Financial Analysis"","" Investment Management"","" Financial Management"","" Process Analysis"","" Risk Management"","" Computational Logic"","" Network Model"","" Statistical Visualization"","" Collaboration"","" Innovation"","" Change Management"","" Business Transformation"","" Supply Chain and Logistics"","" Market Analysis"","" Entrepreneurship"","" Human Factors (Security)""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Academic English: Writing,"{"" Writing""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Grammar|Reading Comprehension|Introductory Vocabulary,beginner
Building AI Powered Chatbots Without Programming,"{"" Cloud Computing"","" Computer Programming"","" IBM Cloud"","" Machine Learning""}",4.8,Beginner,Course,1 - 3 Months,Linear Algebra|Python Programming|Calculus Fundamentals,beginner
Introduction to Cybersecurity Tools & Cyber Attacks,"{"" Cryptography"","" Security Software"","" Cyberattacks"","" Leadership and Management""}",4.6,Beginner,Course,1 - 4 Weeks,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Health Informatics,"{"" Leadership and Management"","" Data Analysis"","" Data Management"","" Clinical Data Management"","" Decision Making"","" Systems Design"","" Data Model"","" Data Structures"","" Databases"","" User Experience"","" Change Management"","" Critical Thinking"","" Human Computer Interaction"","" Big Data"","" Data Analysis Software"","" Database Design"","" Database Theory"","" Process Analysis"","" Project Management"","" Data Science"","" Health""}",4.4,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Data Visualization with Python,"{"" Data Visualization"","" Python Programming"","" Statistical Programming"","" Statistical Visualization"","" Plot (Graphics)"","" Computer Programming""}",4.5,Intermediate,Course,1 - 3 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Introduction to Public Relations and the Media,"{"" Communication"","" Public Relations"","" Media Strategy & Planning"","" Strategy"","" Brand Management"","" Leadership and Management"","" Marketing"","" Strategy and Operations"","" Planning"","" Social Media"","" Critical Thinking"","" Customer Relationship Management"","" Journalism""}",4.7,Beginner,Specialization,3 - 6 Months,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Introduction to Financial Engineering and Risk Management,"{"" Finance"","" Mathematics"","" Probability & Statistics"","" Risk Management"","" Securities Sales"","" Securities Trading""}",4.6,Intermediate,Course,1 - 3 Months,Programming Fundamentals|Version Control|Algorithms,intermediate
Linear Algebra from Elementary to Advanced,"{""Beginner · Specialization · 3 - 6 Months""}",,Beginner,Specialization,3 - 6 Months,Analytical Thinking|Problem Solving Basics|General Industry Knowledge,beginner
Investment and Portfolio Management,"{"" Finance"","" Investment Management"","" Financial Analysis"","" Leadership and Management"","" Risk Management"","" Behavioral Economics"","" Probability & Statistics"","" Market Analysis"","" Mathematics"","" Statistical Tests"","" Business Psychology"","" Correlation And Dependence"","" Mathematical Theory & Analysis""}",4.5,Beginner,Specialization,3 - 6 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Managerial Economics & Business Analysis Graduate Certificate,"{"" Accounting"","" Finance"","" General Statistics"","" Management Accounting"","" Statistical Analysis""}",,,Graduate Certificate,6 - 12 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
The Business of Health Care,"{"" Leadership and Management"","" Finance"","" Decision Making"","" Performance Management"","" Strategy and Operations"","" Operations Management"","" Business Analysis"","" Financial Analysis"","" Financial Management"","" Business Psychology"","" Accounting"","" Accounts Payable and Receivable"","" Financial Accounting"","" General Accounting"","" Management Accounting"","" People Management"","" Generally Accepted Accounting Principles (GAAP)"","" People Analysis"","" Strategy"","" Business Process Management"","" Innovation"","" Leadership Development"","" Payments"","" Behavioral Economics"","" Problem Solving"","" Compensation"","" Correlation And Dependence"","" Insurance Sales"","" Research and Design"","" Risk Management""}",4.6,Beginner,Specialization,3 - 6 Months,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
Building No-Code Apps with AppSheet,"{"" Application Development"","" Mobile Development Tools"","" Spreadsheet Software"","" User Experience"","" Data Management"","" Databases"","" Google Cloud Platform"","" User Experience Design"","" Cloud Applications"","" Mobile Development""}",4.7,Beginner,Specialization,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,beginner
Preparing for Google Cloud Certification: Cloud Architect,"{"" Google Cloud Platform"","" Cloud Computing"","" Cloud Applications"","" Cloud Engineering"","" Cloud Platforms"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Storage"","" Other Cloud Platforms and Tools"","" Cloud Standards"","" Cloud-Based Integration"","" Computer Networking"","" DevOps"","" Google App Engine"","" Computer Architecture"","" Kubernetes"","" Billing & Invoicing"","" Computer Security Models"","" Critical Thinking"","" Network Architecture"","" Computer Programming"","" Operational Analysis"","" Software Testing"","" Leadership and Management""}",4.7,Intermediate,Professional Certificate,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,intermediate
Information Technology (IT) and Cloud Fundamentals,"{"" Cloud Computing"","" Computer Networking"","" Operating Systems"","" Cloud Storage"","" System Security"","" Cloud Applications"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Computer Programming"","" Cryptography"","" IBM Cloud"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
AWS Fundamentals,"{"" Amazon Web Services"","" Cloud Computing"","" Cloud Management"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Applications"","" Cloud Engineering"","" Cloud Storage"","" Cloud API"","" Cloud-Based Integration"","" Network Security"","" Computer Security Models"","" Security Engineering"","" Security Software"","" Security Strategy"","" System Security"","" Cloud Standards"","" Computer Programming Tools"","" Distributed Computing Architecture"","" Data Management"","" Database Design"","" Databases"","" Software Architecture"","" Data Architecture"","" Continuous Delivery"","" Leadership and Management"","" Data Analysis""}",4.8,Beginner,Specialization,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
